Y,X1,X2
0,Panguipulli,Pinguino de Humboldt
0,Panguipulli,Zarapito de Pico Recto
0,Panguipulli,Yunco
0,Panguipulli,Fardela Negra Grande
0,Panguipulli,Pel’cano
0,Panguipulli,Gaviot’n Monja
3,Panguipulli,C—ndor
0,Panguipulli,PilpilŽn
0,Panguipulli,Aguilucho de Cola Rojiza
0,Panguipulli,Aguilucho Chico
9,Panguipulli,Carpintero Negro
0,Panguipulli,Rana Grande de Hojarasca
0,Panguipulli,Rana de Pecho Espinoso
0,Panguipulli,Rana Verde
0,Panguipulli,Tortuga Verde
0,Panguipulli,Marsopa Espinosa
0,Panguipulli,Delf’n Chileno
0,Panguipulli,Ballena Azul
0,Panguipulli,Ballena de Sei
0,Panguipulli,Ballena de Aleta
0,Panguipulli,Chungungo
19,Panguipulli,Huillin
0,Panguipulli,Pudu Sure–o
0,Panguipulli,Monito del Monte Sure–o
0,Panguipulli,Comadrejita Trompuda
5,Panguipulli,Carpa Europea
5,Panguipulli,Gui–a
0,Panguipulli,Pejerrey Chileno
0,Panguipulli,Gaviota Garuma
0,Panguipulli,Gaviot’n Elegante
0,Panguipulli,Fardela Blanca
0,Panguipulli,Fardela Negra
0,Panguipulli,Zorro Chilote
5,Panguipulli,Lagartija del Volc‡n Villarica
0,Panguipulli,Guanay
0,Panguipulli,Lile
17,Panguipulli,Culebra de Cola Corta
0,Panguipulli,Chorlo Nevado
0,Lago Ranco,Pinguino de Magallanes
0,Lago Ranco,Pinguino de Humboldt
0,Lago Ranco,Zarapito de Pico Recto
0,Lago Ranco,Yunco
0,Lago Ranco,Fardela Negra Grande
0,Lago Ranco,Pel’cano
0,Lago Ranco,Gaviot’n Monja
0,Lago Ranco,C—ndor
0,Lago Ranco,PilpilŽn
0,Lago Ranco,Aguilucho de Cola Rojiza
0,Lago Ranco,Aguilucho Chico
3,Lago Ranco,Carpintero Negro
0,Lago Ranco,Rana Grande de Hojarasca
0,Lago Ranco,Rana de Pecho Espinoso
0,Lago Ranco,Rana Verde
0,Lago Ranco,Tortuga Verde
0,Lago Ranco,Marsopa Espinosa
0,Lago Ranco,Delf’n Chileno
0,Lago Ranco,Ballena Azul
0,Lago Ranco,Ballena de Sei
0,Lago Ranco,Ballena de Aleta
0,Lago Ranco,Chungungo
0,Lago Ranco,Huillin
6,Lago Ranco,Pudu Sure–o
0,Lago Ranco,Monito del Monte Sure–o
0,Lago Ranco,Comadrejita Trompuda
0,Lago Ranco,Carpa Europea
3,Lago Ranco,Gui–a
4,Lago Ranco,Pejerrey Chileno
0,Lago Ranco,Gaviota Garuma
0,Lago Ranco,Gaviot’n Elegante
0,Lago Ranco,Fardela Blanca
0,Lago Ranco,Fardela Negra
0,Lago Ranco,Zorro Chilote
0,Lago Ranco,Lagartija del Volc‡n Villarica
0,Lago Ranco,Guanay
0,Lago Ranco,Lile
0,Lago Ranco,Culebra de Cola Corta
0,Lago Ranco,Chorlo Nevado
0,Mafil,Pinguino de Magallanes
0,Mafil,Pinguino de Humboldt
0,Mafil,Zarapito de Pico Recto
0,Mafil,Yunco
0,Mafil,Fardela Negra Grande
0,Mafil,Pel’cano
0,Mafil,Gaviot’n Monja
